race,team,athlete,birthday
7209,DEN,"ANDERSEN Anne",1992-11-10
7209,DEN,"RASMUSSEN Hedvig",1993-12-22
721,JPN,"FUKUMOTO Atsumi",1988-07-24
721,JPN,"IWAMOTO Akiko",1978-09-25
7210,CRO,"MILOSEVIC Karla",1992-09-07
7210,CRO,"MILOSEVIC Marcela",1990-11-13
7211,USA,"LOGAN Eleanor",1987-12-27
7211,USA,"MUELLER Felice",1989-10-15
7212,BLR,"KRYVASHEYENKA Alena",1991-05-08
7212,BLR,"NIKULINA Ina",1995-02-23
7213,CAN,"MARTINS Jennifer",1989-01-31
7213,CAN,"NURSE Cristy",1986-12-05
7214,RUS,"KHALALEEVA Olga",1991-11-13
7214,RUS,"ZHUKOVA Anastasia",1991-03-06
7215,FRA,"KOBER Noemie",1993-12-15
7215,FRA,"LE NEPVOU Marie",1985-01-25
7216,BEL,"GHUYSEN Jeanne",1993-01-19
7216,BEL,"LEWUILLON Marine",1991-02-16
7217,NZL,"GOWLER Kerri",1993-12-18
7217,NZL,"PRENDERGAST Grace",1992-06-30
7218,GBR,"GRAINGER Katherine",1975-11-12
7218,GBR,"THORNLEY Victoria",1987-11-30
7219,POL,"FULARCZYK Magdalena",1986-09-16
7219,POL,"MADAJ Natalia",1988-01-25
722,NZL,"EDWARD Julia",1991-02-20
722,NZL,"STRACK Lucy",1989-11-28
7220,NZL,"MACFARLANE Eve",1992-09-27
7220,NZL,"STEVENSON Zoe",1991-06-19
7221,GRE,"ASOUMANAKI Sofia",1997-05-25
7221,GRE,"NIKOLAIDOU Aikaterini",1992-10-22
7222,LTU,"VALCIUKAITE Milda",1994-05-24
7222,LTU,"VISTARTAITE Donata",1989-06-11
7223,GER,"ADAMS Mareike",1990-02-27
7223,GER,"LIER Julia",1991-11-11
7224,CZE,"ANTOSOVA Lenka",1991-09-27
7224,CZE,"FLEISSNEROVA Kristyna",1992-08-18
7225,USA,"O'LEARY Meghan",1984-08-24
7225,USA,"TOMEK Ellen",1984-05-01
7226,CHN,"WANG Yuwei",1991-07-16
7226,CHN,"ZHU Weiwei",1990-05-22
7227,BLR,"BICHYK Yuliya",1983-04-01
7227,BLR,"KARSTEN Ekaterina",1972-06-02
7228,AUS,"ALDERSEY Olympia",1992-06-26
7228,AUS,"KEHOE Sally",1986-09-25
7229,FRA,"LEFEBVRE Helene",1991-02-26
7229,FRA,"RAVERA-SCARAMOZZINO Elodie",1995-09-19
723,AUS,"EVERY-HALL Hannah",1977-11-18
723,AUS,"McNAMARA Alice",1986-02-22
7230,RUS,"KRASILNIKOVA Maria",1990-10-08
7230,RUS,"POTAPOVA Ekaterina",1990-03-13
7231,SWE,"CLAESSON Lovisa",1995-02-21
7231,SWE,"SVENSSON Frida",1981-08-18
7232,FIN,"KARPPINEN Eeva",1987-03-04
7232,FIN,"VARVIO Ulla",1986-01-15
7233,DEN,"JAKOBSEN Lisbet",1987-01-21
7233,DEN,"PETERSEN Mette",1989-06-27
7234,ROU,"BEJINARIU Viviana-Iuliana",1994-01-01
7234,ROU,"VRINCEANU Ioana",1994-03-07
7235,AUT,"FARTHOFER Lisa",1991-08-10
7235,AUT,"PUEHRINGER Birgit",1989-01-25
7236,ITA,"MAGNAGHI Sara",1993-10-30
7236,ITA,"SCHIAVONE Laura",1986-10-13
7237,CUB,"COBAS GARCIA Yariulvis",1990-08-18
7237,CUB,"HERNANDEZ DELGADO Aimee",1992-07-28
7238,IRL,"DILLEEN Lisa",1991-07-05
7238,IRL,"WALSHE Helen",1980-09-30
7239,CAN,"GOODFELLOW Katharine",1989-08-12
7239,CAN,"VON SEYDLITZ-KURZBACH Antje",1990-09-16
724,ESP,"ARRAZOLA SANTESTEBAN Maialen",1985-02-01
724,ESP,"MAS DE XAXARS RIVERO Teresa",1982-09-13
7240,UKR,"NIMCHENKO Ievgeniia",1992-09-29
7240,UKR,"VERKHOGLIAD Daryna",1992-02-22
7241,KOR,"JEON Seoyeong",1989-03-18
7241,KOR,"KIM Yeji",1994-11-17
7242,FRA,"LEFEBVRE Helene",1991-02-26
7242,FRA,"RAVERA-SCARAMOZZINO Elodie",1995-09-19
7243,GBR,"GRAINGER Katherine",1975-11-12
7243,GBR,"THORNLEY Victoria",1987-11-30
7244,LTU,"VALCIUKAITE Milda",1994-05-24
7244,LTU,"VISTARTAITE Donata",1989-06-11
7245,NZL,"MACFARLANE Eve",1992-09-27
7245,NZL,"STEVENSON Zoe",1991-06-19
7246,CHN,"WANG Yuwei",1991-07-16
7246,CHN,"ZHU Weiwei",1990-05-22
7247,USA,"O'LEARY Meghan",1984-08-24
7247,USA,"TOMEK Ellen",1984-05-01
7248,BLR,"BICHYK Yuliya",1983-04-01
7248,BLR,"KARSTEN Ekaterina",1972-06-02
7249,GER,"ADAMS Mareike",1990-02-27
7249,GER,"LIER Julia",1991-11-11
725,GBR,"GOODSELL Hester",1984-06-27
725,GBR,"HOSKING Sophie",1986-01-25
7250,POL,"FULARCZYK Magdalena",1986-09-16
7250,POL,"MADAJ Natalia",1988-01-25
7251,GRE,"ASOUMANAKI Sofia",1997-05-25
7251,GRE,"NIKOLAIDOU Aikaterini",1992-10-22
7252,AUS,"ALDERSEY Olympia",1992-06-26
7252,AUS,"KEHOE Sally",1986-09-25
7253,CZE,"ANTOSOVA Lenka",1991-09-27
7253,CZE,"FLEISSNEROVA Kristyna",1992-08-18
7254,KOR,"JEON Seoyeong",1989-03-18
7254,KOR,"KIM Yeji",1994-11-17
7255,AUT,"FARTHOFER Lisa",1991-08-10
7255,AUT,"PUEHRINGER Birgit",1989-01-25
7256,CAN,"GOODFELLOW Katharine",1989-08-12
7256,CAN,"VON SEYDLITZ-KURZBACH Antje",1990-09-16
7257,FIN,"KARPPINEN Eeva",1987-03-04
7257,FIN,"VARVIO Ulla",1986-01-15
7258,ROU,"BEJINARIU Viviana-Iuliana",1994-01-01
7258,ROU,"VRINCEANU Ioana",1994-03-07
7259,UKR,"NIMCHENKO Ievgeniia",1992-09-29
7259,UKR,"VERKHOGLIAD Daryna",1992-02-22
726,AUT,"LAIMBOECK Manuela",1985-08-08
726,AUT,"TAUPE-TRAER Michaela",1975-01-25
7260,ITA,"MAGNAGHI Sara",1993-10-30
7260,ITA,"SCHIAVONE Laura",1986-10-13
7261,SWE,"CLAESSON Lovisa",1995-02-21
7261,SWE,"SVENSSON Frida",1981-08-18
7262,RUS,"KRASILNIKOVA Maria",1990-10-08
7262,RUS,"POTAPOVA Ekaterina",1990-03-13
7263,DEN,"JAKOBSEN Lisbet",1987-01-21
7263,DEN,"PETERSEN Mette",1989-06-27
7264,IRL,"DILLEEN Lisa",1991-07-05
7264,IRL,"WALSHE Helen",1980-09-30
7265,CUB,"COBAS GARCIA Yariulvis",1990-08-18
7265,CUB,"HERNANDEZ DELGADO Aimee",1992-07-28
7266,IRL,"DILLEEN Lisa",1991-07-05
7266,IRL,"WALSHE Helen",1980-09-30
7267,UKR,"NIMCHENKO Ievgeniia",1992-09-29
7267,UKR,"VERKHOGLIAD Daryna",1992-02-22
7268,GER,"ADAMS Mareike",1990-02-27
7268,GER,"LIER Julia",1991-11-11
7269,USA,"O'LEARY Meghan",1984-08-24
7269,USA,"TOMEK Ellen",1984-05-01
727,FRA,"MAURIN Elise",1989-02-12
727,FRA,"VINCE Eugenie",1987-06-18
7270,FIN,"KARPPINEN Eeva",1987-03-04
7270,FIN,"VARVIO Ulla",1986-01-15
7271,RUS,"KRASILNIKOVA Maria",1990-10-08
7271,RUS,"POTAPOVA Ekaterina",1990-03-13
7272,ROU,"BEJINARIU Viviana-Iuliana",1994-01-01
7272,ROU,"VRINCEANU Ioana",1994-03-07
7273,BLR,"BICHYK Yuliya",1983-04-01
7273,BLR,"KARSTEN Ekaterina",1972-06-02
7274,GBR,"GRAINGER Katherine",1975-11-12
7274,GBR,"THORNLEY Victoria",1987-11-30
7275,ITA,"MAGNAGHI Sara",1993-10-30
7275,ITA,"SCHIAVONE Laura",1986-10-13
7276,KOR,"JEON Seoyeong",1989-03-18
7276,KOR,"KIM Yeji",1994-11-17
7277,CAN,"GOODFELLOW Katharine",1989-08-12
7277,CAN,"VON SEYDLITZ-KURZBACH Antje",1990-09-16
7278,AUS,"ALDERSEY Olympia",1992-06-26
7278,AUS,"KEHOE Sally",1986-09-25
7279,FRA,"LEFEBVRE Helene",1991-02-26
7279,FRA,"RAVERA-SCARAMOZZINO Elodie",1995-09-19
728,ITA,"BELLO Erika",1975-11-30
728,ITA,"POLLINI Giulia",1988-03-08
7280,SWE,"CLAESSON Lovisa",1995-02-21
7280,SWE,"SVENSSON Frida",1981-08-18
7281,AUT,"FARTHOFER Lisa",1991-08-10
7281,AUT,"PUEHRINGER Birgit",1989-01-25
7282,CZE,"ANTOSOVA Lenka",1991-09-27
7282,CZE,"FLEISSNEROVA Kristyna",1992-08-18
7283,CHN,"WANG Yuwei",1991-07-16
7283,CHN,"ZHU Weiwei",1990-05-22
7284,DEN,"JAKOBSEN Lisbet",1987-01-21
7284,DEN,"PETERSEN Mette",1989-06-27
7285,CUB,"COBAS GARCIA Yariulvis",1990-08-18
7285,CUB,"HERNANDEZ DELGADO Aimee",1992-07-28
7286,NZL,"MACFARLANE Eve",1992-09-27
7286,NZL,"STEVENSON Zoe",1991-06-19
7287,IRL,"DILLEEN Lisa",1991-07-05
7287,IRL,"WALSHE Helen",1980-09-30
7288,DEN,"JAKOBSEN Lisbet",1987-01-21
7288,DEN,"PETERSEN Mette",1989-06-27
7289,GER,"ADAMS Mareike",1990-02-27
7289,GER,"LIER Julia",1991-11-11
729,JPN,"FUKUMOTO Atsumi",1988-07-24
729,JPN,"IWAMOTO Akiko",1978-09-25
7290,ITA,"MAGNAGHI Sara",1993-10-30
7290,ITA,"SCHIAVONE Laura",1986-10-13
7291,CAN,"GOODFELLOW Katharine",1989-08-12
7291,CAN,"VON SEYDLITZ-KURZBACH Antje",1990-09-16
7292,SWE,"CLAESSON Lovisa",1995-02-21
7292,SWE,"SVENSSON Frida",1981-08-18
7293,GRE,"ASOUMANAKI Sofia",1997-05-25
7293,GRE,"NIKOLAIDOU Aikaterini",1992-10-22
7294,USA,"O'LEARY Meghan",1984-08-24
7294,USA,"TOMEK Ellen",1984-05-01
7295,RUS,"KRASILNIKOVA Maria",1990-10-08
7295,RUS,"POTAPOVA Ekaterina",1990-03-13
7296,CZE,"ANTOSOVA Lenka",1991-09-27
7296,CZE,"FLEISSNEROVA Kristyna",1992-08-18
7297,BLR,"BICHYK Yuliya",1983-04-01
7297,BLR,"KARSTEN Ekaterina",1972-06-02
7298,LTU,"VALCIUKAITE Milda",1994-05-24
7298,LTU,"VISTARTAITE Donata",1989-06-11
7299,KOR,"JEON Seoyeong",1989-03-18
7299,KOR,"KIM Yeji",1994-11-17
73,GBR,"CAMPBELL Alan",1983-05-09
730,GRE,"GIAZITZIDOU Christina",1989-10-12
730,GRE,"TSIAVOU Alexandra",1985-09-26
7300,GBR,"GRAINGER Katherine",1975-11-12
7300,GBR,"THORNLEY Victoria",1987-11-30
7301,CUB,"COBAS GARCIA Yariulvis",1990-08-18
7301,CUB,"HERNANDEZ DELGADO Aimee",1992-07-28
7302,UKR,"NIMCHENKO Ievgeniia",1992-09-29
7302,UKR,"VERKHOGLIAD Daryna",1992-02-22
7303,AUS,"ALDERSEY Olympia",1992-06-26
7303,AUS,"KEHOE Sally",1986-09-25
7304,AUT,"FARTHOFER Lisa",1991-08-10
7304,AUT,"PUEHRINGER Birgit",1989-01-25
7305,CHN,"WANG Yuwei",1991-07-16
7305,CHN,"ZHU Weiwei",1990-05-22
7306,FIN,"KARPPINEN Eeva",1987-03-04
7306,FIN,"VARVIO Ulla",1986-01-15
7307,FRA,"LEFEBVRE Helene",1991-02-26
7307,FRA,"RAVERA-SCARAMOZZINO Elodie",1995-09-19
7308,POL,"FULARCZYK Magdalena",1986-09-16
7308,POL,"MADAJ Natalia",1988-01-25
7309,ROU,"BEJINARIU Viviana-Iuliana",1994-01-01
7309,ROU,"VRINCEANU Ioana",1994-03-07
731,CAN,"CAMERON Tracy",1975-02-01
731,CAN,"JENNERICH Lindsay",1982-07-30
7310,GER,"DUELL Constanze",1989-03-05
7310,GER,"PAUL Sophie",1987-10-01
7310,GER,"REINERT Katrin",1988-01-13
7310,GER,"SIERING Constanze",1991-02-10
7311,GBR,"BENNETT Karen",1989-02-05
7311,GBR,"CHIN Rebecca",1991-12-11
7311,GBR,"GOODERHAM Lucinda",1984-06-09
7311,GBR,"NORTON Holly",1993-01-01
7312,USA,"LATZ Grace",1988-02-21
7312,USA,"LUCZAK Grace",1989-05-24
7312,USA,"MARTELLI Adrienne",1987-12-03
7312,USA,"O'BRIEN Kristine",1991-10-03
7313,CHN,"CHENG Wenjing",1994-11-13
7313,CHN,"YI Liqin",1993-10-25
7313,CHN,"YIN Dameng",1993-04-30
7313,CHN,"YU JING",1991-02-27
7314,IRL,"DUKARSKA Monika",1990-10-18
7314,IRL,"KENNEDY Leonora",1987-01-12
7314,IRL,"KEOGH Aifric",1992-07-09
7314,IRL,"O'BRIEN Barbara",1989-06-29
7315,IRL,"DUKARSKA Monika",1990-10-18
7315,IRL,"KENNEDY Leonora",1987-01-12
7315,IRL,"KEOGH Aifric",1992-07-09
7315,IRL,"O'BRIEN Barbara",1989-06-29
7316,CHN,"CHENG Wenjing",1994-11-13
7316,CHN,"YI Liqin",1993-10-25
7316,CHN,"YIN Dameng",1993-04-30
7316,CHN,"YU JING",1991-02-27
7317,GER,"DUELL Constanze",1989-03-05
7317,GER,"PAUL Sophie",1987-10-01
7317,GER,"REINERT Katrin",1988-01-13
7317,GER,"SIERING Constanze",1991-02-10
7318,USA,"LATZ Grace",1988-02-21
7318,USA,"LUCZAK Grace",1989-05-24
7318,USA,"MARTELLI Adrienne",1987-12-03
7318,USA,"O'BRIEN Kristine",1991-10-03
7319,GBR,"BENNETT Karen",1989-02-05
7319,GBR,"CHIN Rebecca",1991-12-11
7319,GBR,"GOODERHAM Lucinda",1984-06-09
7319,GBR,"NORTON Holly",1993-01-01
732,CHN,"HUANG Wenyi",1991-03-06
732,CHN,"PAN Feihong",1989-07-17
7320,USA,"COFFEY Olivia",1989-01-29
7320,USA,"EISSER Tracy",1989-11-20
7320,USA,"ELMORE Amanda",1991-03-13
7320,USA,"KALMOE Megan",1983-08-21
7321,NED,"ACHTERBERG Chantal",1985-04-16
7321,NED,"BEUKERS Nicole",1990-10-07
7321,NED,"BOUW Carline",1984-12-14
7321,NED,"JANSSEN Inge",1989-04-20
7322,AUS,"CLEARY Jennifer",1993-06-22
7322,AUS,"EDMUNDS Madeleine",1992-01-03
7322,AUS,"HALL Jessica",1992-07-13
7322,AUS,"HORE Kerry",1981-07-03
7323,GER,"ARNOLD Marie-Catherine",1991-11-07
7323,GER,"BAER Carina",1990-01-23
7323,GER,"SCHMIDLA Lisa",1991-06-05
7323,GER,"THIELE Annekatrin",1984-10-18
7324,POL,"CIACIUCH Monika",1992-05-10
7324,POL,"KOBUS Agnieszka",1990-08-28
7324,POL,"LESZCZYNSKA Joanna",1988-12-18
7324,POL,"SPRINGWALD Maria",1991-07-30
7325,NZL,"GRAY Sarah",1990-10-28
7325,NZL,"O BRIEN Erin-Monique",1986-12-17
7325,NZL,"PERRY Georgia",1993-08-13
7325,NZL,"SPOORS Lucy",1990-12-24
7326,FRA,"BUGNARD Pauline",1984-06-28
7326,FRA,"DUBUIS Eleonore",1994-11-04
7326,FRA,"MAYNE Alice",1991-07-19
7326,FRA,"POUMAILLOUX Chloe",1992-05-23
7327,CHN,"JIANG Yan",1989-01-10
7327,CHN,"LYU Yang",1993-11-26
7327,CHN,"SHEN Xiaoxing",1992-10-08
7327,CHN,"ZHANG Xinyue",1993-05-05
7328,GBR,"HOUGHTON Frances",1980-09-19
7328,GBR,"LEYDEN Jessica",1995-02-22
7328,GBR,"STILLER Kristina",1987-06-23
7328,GBR,"WILSON Melanie",1984-06-25
7329,RUS,"ANTSIFEROVA Maria",1988-02-18
7329,RUS,"BODNUK Natalia",1983-02-27
7329,RUS,"KUROCHKINA Ekaterina",1994-05-25
7329,RUS,"VOLGINA Iuliia",1992-10-17
733,NED,"HEAD Maaike",1983-09-11
733,NED,"SIGMOND Rianne",1984-05-02
7330,UKR,"BURYAK Olena",1988-02-08
7330,UKR,"DYMCHENKO Diana",1989-09-08
7330,UKR,"KOVALOVA Natalia",1992-05-14
7330,UKR,"KRAVCHENKO Anna",1986-06-25
7331,RUS,"ANTSIFEROVA Maria",1988-02-18
7331,RUS,"BODNUK Natalia",1983-02-27
7331,RUS,"ORIABINSKAYA Elena",1994-03-15
7331,RUS,"VOLGINA Iuliia",1992-10-17
7332,CHN,"JIANG Yan",1989-01-10
7332,CHN,"LYU Yang",1993-11-26
7332,CHN,"SHEN Xiaoxing",1992-10-08
7332,CHN,"ZHANG Xinyue",1993-05-05
7333,NED,"ACHTERBERG Chantal",1985-04-16
7333,NED,"BEUKERS Nicole",1990-10-07
7333,NED,"BOUW Carline",1984-12-14
7333,NED,"JANSSEN Inge",1989-04-20
7334,NZL,"GRAY Sarah",1990-10-28
7334,NZL,"O BRIEN Erin-Monique",1986-12-17
7334,NZL,"PERRY Georgia",1993-08-13
7334,NZL,"SPOORS Lucy",1990-12-24
7335,UKR,"BURYAK Olena",1988-02-08
7335,UKR,"DYMCHENKO Diana",1989-09-08
7335,UKR,"KOVALOVA Natalia",1992-05-14
7335,UKR,"KRAVCHENKO Anna",1986-06-25
7336,GBR,"HOUGHTON Frances",1980-09-19
7336,GBR,"LEYDEN Jessica",1995-02-22
7336,GBR,"STILLER Kristina",1987-06-23
7336,GBR,"WILSON Melanie",1984-06-25
7337,USA,"COFFEY Olivia",1989-01-29
7337,USA,"EISSER Tracy",1989-11-20
7337,USA,"ELMORE Amanda",1991-03-13
7337,USA,"KALMOE Megan",1983-08-21
7338,POL,"CIACIUCH Monika",1992-05-10
7338,POL,"KOBUS Agnieszka",1990-08-28
7338,POL,"LESZCZYNSKA Joanna",1988-12-18
7338,POL,"SPRINGWALD Maria",1991-07-30
7339,FRA,"BUGNARD Pauline",1984-06-28
7339,FRA,"DUBUIS Eleonore",1994-11-04
7339,FRA,"MAYNE Alice",1991-07-19
7339,FRA,"POUMAILLOUX Chloe",1992-05-23
734,GER,"NOSKE Anja",1986-06-10
734,GER,"REIMER Daniela",1982-09-26
7340,GER,"ARNOLD Marie-Catherine",1991-11-07
7340,GER,"BAER Carina",1990-01-23
7340,GER,"SCHMIDLA Lisa",1991-06-05
7340,GER,"THIELE Annekatrin",1984-10-18
7341,GBR,"HOUGHTON Frances",1980-09-19
7341,GBR,"LEYDEN Jessica",1995-02-22
7341,GBR,"STILLER Kristina",1987-06-23
7341,GBR,"WILSON Melanie",1984-06-25
7342,NED,"ACHTERBERG Chantal",1985-04-16
7342,NED,"BEUKERS Nicole",1990-10-07
7342,NED,"BOUW Carline",1984-12-14
7342,NED,"JANSSEN Inge",1989-04-20
7343,POL,"CIACIUCH Monika",1992-05-10
7343,POL,"KOBUS Agnieszka",1990-08-28
7343,POL,"LESZCZYNSKA Joanna",1988-12-18
7343,POL,"SPRINGWALD Maria",1991-07-30
7344,RUS,"ANTSIFEROVA Maria",1988-02-18
7344,RUS,"BODNUK Natalia",1983-02-27
7344,RUS,"ORYABINSKAYA Elena",1994-03-15
7344,RUS,"VOLGINA Iuliia",1992-10-17
7345,UKR,"BURYAK Olena",1988-02-08
7345,UKR,"DYMCHENKO Diana",1989-09-08
7345,UKR,"KOVALOVA Natalia",1992-05-14
7345,UKR,"KRAVCHENKO Anna",1986-06-25
7346,AUS,"CLEARY Jennifer",1993-06-22
7346,AUS,"EDMUNDS Madeleine",1992-01-03
7346,AUS,"HALL Jessica",1992-07-13
7346,AUS,"HORE Kerry",1981-07-03
7347,NZL,"GRAY Sarah",1990-10-28
7347,NZL,"O BRIEN Erin-Monique",1986-12-17
7347,NZL,"PERRY Georgia",1993-08-13
7347,NZL,"SPOORS Lucy",1990-12-24
7348,FRA,"BUGNARD Pauline",1984-06-28
7348,FRA,"DUBUIS Eleonore",1994-11-04
7348,FRA,"MAYNE Alice",1991-07-19
7348,FRA,"POUMAILLOUX Chloe",1992-05-23
7349,USA,"COFFEY Olivia",1989-01-29
7349,USA,"EISSER Tracy",1989-11-20
7349,USA,"ELMORE Amanda",1991-03-13
7349,USA,"KALMOE Megan",1983-08-21
735,USA,"BROUGHTON Abelyn",1983-05-03
735,USA,"GROBLER Ursula",1980-02-06
7350,CHN,"JIANG Yan",1989-01-10
7350,CHN,"LYU Yang",1993-11-26
7350,CHN,"SHEN Xiaoxing",1992-10-08
7350,CHN,"ZHANG Xinyue",1993-05-05
7351,GBR,"BRADBURY Rosamund",1988-12-17
7351,GBR,"CARNEGIE-BROWN Olivia",1991-03-28
7351,GBR,"DE TOLEDO Zoe",1987-07-17
7351,GBR,"EDDIE Jessica",1984-10-07
7351,GBR,"ETIEBET Donna",1986-04-29
7351,GBR,"GREVES Katie",1982-09-02
7351,GBR,"LEE Zoe",1985-12-15
7351,GBR,"MEYER-LAKER Victoria",1988-03-18
7351,GBR,"REEVE Louisa",1984-05-16
7352,NED,"BELDERBOS Claudia",1985-01-23
7352,NED,"HOGERWERF Elisabeth",1989-02-10
7352,NED,"JORRITSMA Aletta",1989-05-17
7352,NED,"LANZ Monica",1991-04-08
7352,NED,"NOORT Ae-Ri",1983-01-10
7352,NED,"SOUWER Sophie",1987-06-29
7352,NED,"VAN VEEN Jose",1996-01-09
7352,NED,"Van DORP Wianka",1987-12-01
7352,NED,"van ROOIJEN Olivia",1988-10-29
7353,CAN,"BRZOZOWICZ Ashley",1982-12-17
7353,CAN,"GRAINGER Susanne",1990-12-30
7353,CAN,"MARTINS Jennifer",1989-01-31
7353,CAN,"MASTRACCI Natalie",1989-06-05
7353,CAN,"NURSE Cristy",1986-12-05
7353,CAN,"ROMAN Lisa",1989-09-17
7353,CAN,"ROPER Christine",1990-05-15
7353,CAN,"THOMPSON-WILLIE Lesley",1959-09-20
7353,CAN,"WILKINSON Lauren",1989-10-17
7354,USA,"GOBBO Tessa",1990-12-08
7354,USA,"MUSNICKI Meghan",1983-02-05
7354,USA,"OPITZ Victoria",1988-06-05
7354,USA,"POLK Amanda",1986-08-02
7354,USA,"REGAN Emily",1988-06-10
7354,USA,"ROBBINS Heidi",1991-07-03
7354,USA,"SCHMETTERLING Lauren",1988-08-03
7354,USA,"SIMMONDS Kerry",1989-04-03
7354,USA,"SNYDER Katelin",1987-08-16
7355,NZL,"BEHRENT Genevieve",1990-09-25
7355,NZL,"BEVAN Kelsey",1990-04-10
7355,NZL,"DYKE Emma",1995-06-30
7355,NZL,"GOWLER Kerri",1993-12-18
7355,NZL,"PRATT Kayla",1991-05-27
7355,NZL,"PRENDERGAST Grace",1992-06-30
7355,NZL,"SCOWN Rebecca",1983-08-10
7355,NZL,"TEW Ruby",1994-03-07
7355,NZL,"TURNER Frances",1992-04-06
7356,RUS,"FEDOROVA Aleksandra",1987-02-23
7356,RUS,"INOZEMTSEVA Yulia",1983-07-04
7356,RUS,"KALINOVSKAYA Julia",1983-02-27
7356,RUS,"KARABELSHCHIKOVA Anastasia",1985-08-04
7356,RUS,"LEBEDEVA Elena",1978-09-18
7356,RUS,"POPOVA Julia",1988-04-29
7356,RUS,"SAVKINA Alevtina",1986-07-30
7356,RUS,"TIKHANOVA Anastasia",1993-08-16
7356,RUS,"VOLKOVA Ksenia",1991-04-01
7357,GER,"BECKER Anne",1989-06-08
7357,GER,"BLEICH Stella-Izabell",1996-04-04
7357,GER,"HOEFFGEN Alexandra",1993-10-29
7357,GER,"REINHARDT Charlotte",1993-11-25
7357,GER,"SCHMIDT Michaela",1990-09-20
7357,GER,"SCHUETTE Ronja",1990-02-20
7357,GER,"SCHULTZE Daniela",1990-11-03
7357,GER,"SCHWENSEN Laura",1991-07-25
7357,GER,"WAERMER Julia",1989-08-16
7358,CHN,"CUI Xiaotong",1994-11-21
7358,CHN,"GUO Linlin",1992-11-13
7358,CHN,"JU Rui",1993-02-04
7358,CHN,"MIAO Tian",1993-01-18
7358,CHN,"ZHANG Dan",1988-01-24
7358,CHN,"ZHANG Huan",1989-04-09
7358,CHN,"ZHANG Min",1993-06-20
7358,CHN,"ZHANG Rui",1993-08-23
7358,CHN,"ZHAO Li",1989-04-26
7359,ROU,"BERES Madalina",1993-07-03
7359,ROU,"BOGHIAN Andreea",1991-11-29
7359,ROU,"COGIANU Roxana",1986-09-21
7359,ROU,"COJOCARIU Adelina",1988-09-04
7359,ROU,"CRACIUN Ioana",1989-01-04
7359,ROU,"DORNEANU Irina",1990-03-03
7359,ROU,"DRUNCEA Daniela",1990-11-02
7359,ROU,"PETRILA Mihaela",1991-05-07
7359,ROU,"POPA Iuliana",1996-07-05
736,POL,"KEMNITZ Magdalena",1985-03-13
736,POL,"RENC Agnieszka",1986-01-09
7360,AUS,"BANTING Sarah",1993-11-09
7360,AUS,"BATEMAN Katrina",1992-09-08
7360,AUS,"HAGAN Alexandra",1991-03-21
7360,AUS,"HOWE Georgina",1994-03-03
7360,AUS,"POPA Rosemary",1991-12-30
7360,AUS,"STEPHAN Lucy",1991-12-10
7360,AUS,"SUTHERLAND Charlotte",1991-06-26
7360,AUS,"VERMEERSCH Hannah",1992-09-10
7360,AUS,"VOLKER Meaghan",1990-10-20
7361,CHN,"CUI Xiaotong",1994-11-21
7361,CHN,"GUO Linlin",1992-11-13
7361,CHN,"JU Rui",1993-02-04
7361,CHN,"MIAO Tian",1993-01-18
7361,CHN,"ZHANG Dan",1988-01-24
7361,CHN,"ZHANG Huan",1989-04-09
7361,CHN,"ZHANG Min",1993-06-20
7361,CHN,"ZHANG Rui",1993-08-23
7361,CHN,"ZHAO Li",1989-04-26
7362,AUS,"BANTING Sarah",1993-11-09
7362,AUS,"BATEMAN Katrina",1992-09-08
7362,AUS,"HAGAN Alexandra",1991-03-21
7362,AUS,"HOWE Georgina",1994-03-03
7362,AUS,"POPA Rosemary",1991-12-30
7362,AUS,"STEPHAN Lucy",1991-12-10
7362,AUS,"SUTHERLAND Charlotte",1991-06-26
7362,AUS,"VERMEERSCH Hannah",1992-09-10
7362,AUS,"VOLKER Meaghan",1990-10-20
7363,ROU,"BERES Madalina",1993-07-03
7363,ROU,"BOGHIAN Andreea",1991-11-29
7363,ROU,"COGIANU Roxana",1986-09-21
7363,ROU,"COJOCARIU Adelina",1988-09-04
7363,ROU,"CRACIUN Ioana",1989-01-04
7363,ROU,"DORNEANU Irina",1990-03-03
7363,ROU,"DRUNCEA Daniela",1990-11-02
7363,ROU,"PETRILA Mihaela",1991-05-07
7363,ROU,"POPA Iuliana",1996-07-05
7364,GBR,"BRADBURY Rosamund",1988-12-17
7364,GBR,"CARNEGIE-BROWN Olivia",1991-03-28
7364,GBR,"DE TOLEDO Zoe",1987-07-17
7364,GBR,"EDDIE Jessica",1984-10-07
7364,GBR,"ETIEBET Donna",1986-04-29
7364,GBR,"GREVES Katie",1982-09-02
7364,GBR,"LEE Zoe",1985-12-15
7364,GBR,"MEYER-LAKER Victoria",1988-03-18
7364,GBR,"REEVE Louisa",1984-05-16
7365,RUS,"FEDOROVA Aleksandra",1987-02-23
7365,RUS,"INOZEMTSEVA Yulia",1983-07-04
7365,RUS,"KALINOVSKAYA Julia",1983-02-27
7365,RUS,"KARABELSHCHIKOVA Anastasia",1985-08-04
7365,RUS,"LEBEDEVA Elena",1978-09-18
7365,RUS,"POPOVA Julia",1988-04-29
7365,RUS,"SAVKINA Alevtina",1986-07-30
7365,RUS,"TIKHANOVA Anastasia",1993-08-16
7365,RUS,"VOLKOVA Ksenia",1991-04-01
7366,GER,"BECKER Anne",1989-06-08
